Time Step,Flux
0,0.59364957
1,0.049783505
2,-0.25904295
3,-0.08721185
4,-0.33601114
5,1.2191712
6,-0.21599327
7,-0.15163042
8,0.34385177
9,1.1628083
10,-1.9369459
11,0.010906408
12,-1.1443028
13,0.35392734
14,0.05113363
15,-0.30862373
16,-0.3080219
17,-0.082416005
18,0.75449365
19,-0.63976526
20,-1.2710692
21,0.91679555
22,-0.349805
23,0.09057636
24,-1.079629
25,-1.1766819
26,1.4628515
27,0.20336007
28,0.22439459
29,0.45275623
30,0.22888012
31,-0.3534523
32,0.30993998
33,-0.260026
34,-0.6231141
35,0.12014834
36,0.2370511
37,-1.2168728
38,-0.85836107
39,-1.2495189
40,-0.23830599
41,-1.1277595
42,0.2157273
43,-0.5989781
44,0.6829966
45,0.65049255
46,-1.1288592
47,-0.19462818
48,-1.1399851
49,-0.99573773
50,-0.7809506
51,-0.2777351
52,-0.5207567
53,-1.9602932
54,0.56341225
55,0.47160777
56,-0.22511098
57,0.2132936
58,-1.1066495
59,-1.0629426
60,-0.5211019
61,-0.17794175
62,-0.50696075
63,0.38367593
64,0.33110157
65,0.5269054
66,0.07564048
67,-0.35976014
68,0.2896208
69,-0.48883626
70,-1.0689752
71,0.3625096
72,0.28043255
73,-0.6825408
74,0.06390702
75,-0.84898454
76,1.4901148
77,0.5708482
78,0.40027624
79,1.2896266
80,1.565387
81,0.9104005
82,1.6205374
83,0.9557158
84,1.6707174
85,2.0194745
86,2.3144503
87,1.4469662
88,1.5439254
89,1.6165708
90,1.1475471
91,0.1690017
92,0.55368996
93,0.14603807
94,1.3288848
95,0.6647292
96,0.107357964
97,0.5630766
98,-0.19204995
99,-0.34601226
100,0.5769284
101,-0.5444415
102,-0.5441912
103,-0.08209945
104,0.034686584
105,-0.37166566
106,-0.3944472
107,-0.6436426
108,0.04193296
109,-0.18728444
110,0.643014
111,0.0019559616
112,-0.127283
113,-0.8674433
114,-0.22247086
115,-0.6008384
116,0.7129773
117,0.47236657
118,-0.20741554
119,0.8885393
120,1.2829689
121,0.64619124
122,-0.016503274
123,-0.19915646
124,-0.6697149
125,0.2716781
126,-0.9815668
127,-1.4599866
128,0.25535476
129,-0.22387494
130,-0.72873676
131,-0.5354109
132,-0.19161928
133,0.25907022
134,-0.50807065
135,-0.16482651
136,0.38257962
137,0.41822198
138,-0.26994702
139,0.044016022
140,-0.1509401
141,0.37481818
142,1.4011183
143,1.5029523
144,2.039234
145,1.1917839
146,1.3713939
147,1.114501
148,2.584582
149,1.6927216
150,0.54966843
151,1.1038759
152,0.8869299
153,0.16834699
154,0.87937635
155,-0.26615402
156,-0.6572782
157,-0.7183181
158,-0.8237862
159,-0.3001789
160,0.21283841
161,-0.7802743
162,0.002830514
163,-0.05623375
164,-0.4216853
165,-0.44352606
166,-0.49962655
167,-0.61652416
168,0.26963058
169,0.26996946
170,-0.42186618
171,0.07576344
172,-1.0820189
173,-0.50416565
174,-0.046860255
175,-0.3045018
176,-0.24800324
177,-0.9667918
178,-0.6540572
179,0.56927025
180,-0.25273716
181,-0.64137906
182,-0.35309023
183,0.004884284
184,-0.13246782
185,-0.5969476
186,-0.47850865
187,-0.72090966
188,-0.40993696
189,-0.69831485
190,-0.6249324
191,1.3365061
192,-0.05335192
193,0.23042588
194,0.055251338
195,-1.0283042
196,-1.0213597
197,-0.38649425
198,-0.25171483
199,-0.7142011
200,-0.46712697
201,-0.3209608
202,-0.6024641
203,-0.7102078
204,-0.29147738
205,-0.18768567
206,-0.29586574
207,-0.24139756
208,-0.8985198
209,-0.02180289
210,-0.81472
211,-0.4197694
212,-0.6963182
213,-0.109008044
214,-0.5198477
215,-0.29071325
216,-0.011582252
217,-0.16794895
218,-0.04428462
219,-0.57448393
220,0.20328529
221,-0.261186
222,-0.63755804
223,-0.19270691
224,-0.062371038
225,-0.10764052
226,-0.41836727
227,-0.042700514
228,-0.097849146
229,-0.09399297
230,-0.16101526
231,-0.16404013
232,-0.2430039
233,-0.5117606
234,0.25206304
235,0.016748352
236,0.5309079
237,-0.049540736
238,-0.13884147
239,-0.10904739
240,-1.1251318
241,-0.46328455
242,-0.9275114
243,-0.36858588
244,-0.25111172
245,-0.21994805
246,-1.0771146
247,-0.30312
248,0.104498796
249,-0.030376289
250,0.088085555
251,0.5629152
252,1.1885614
253,0.881505
254,1.4850134
255,2.5078487
256,3.4493403
257,4.1885676
258,5.2339997
259,5.048825
260,5.1948843
261,5.215774
262,4.711732
263,4.5250535
264,3.641424
265,2.010698
266,1.0401713
267,0.62138474
268,0.8704686
269,0.036352035
270,-0.05057074
271,-0.23467445
272,-0.45273995
273,-0.905827
274,-0.6545765
275,-0.5077112
276,0.024803236
