Time Step,Flux
0,-0.5762313
1,-0.7765738
2,-0.1913051
3,-0.3643914
4,-0.3206972
5,-0.21293609
6,-0.4205966
7,-0.72811687
8,0.13123463
9,-0.38776058
10,-0.23994038
11,0.5659788
12,-0.45173007
13,-0.066186525
14,-0.23601462
15,-0.15081
16,-0.3265472
17,-0.2560342
18,0.33258253
19,0.2520732
20,-0.11095655
21,-0.7444403
22,-0.15275274
23,0.056430034
24,-0.68959755
25,0.13726482
26,-0.022837734
27,0.17707779
28,-0.097231165
29,-0.19342595
30,-0.23489246
31,-0.49376822
32,-0.05255717
33,-0.07386494
34,-0.09203374
35,-0.12251575
36,-0.09393542
37,0.15321963
38,-0.21868712
39,-0.3125129
40,0.09738417
41,0.039254636
42,0.052806504
43,0.08470816
44,0.37793082
45,0.029229285
46,-0.008567943
47,-0.2863345
48,-0.17714664
49,-0.56378496
50,-0.54574347
51,-0.13320541
52,-0.3209284
53,-0.26661807
54,-0.42723086
55,-0.2461551
56,-0.58767825
57,0.047204282
58,-0.25102654
59,0.16085424
60,-0.15142205
61,-0.2061644
62,-0.06454573
63,-0.021589257
64,-0.39168763
65,-0.09252215
66,0.12364931
67,0.17902197
68,-0.4182099
69,-0.24828221
70,-0.06623043
71,-0.239751
72,-0.046930384
73,-0.043277007
74,0.110418685
75,-0.027367707
76,0.28798434
77,-0.32495704
78,0.22168924
79,-0.3540833
80,-0.23602226
81,0.16926782
82,-0.34179097
83,-0.22695717
84,0.30778378
85,-0.16970944
86,0.1693905
87,-0.2535762
88,-0.20149776
89,-0.37533033
90,-0.18132745
91,-0.0071122004
92,-0.0771602
93,-0.29267898
94,-0.29114848
95,-0.047276184
96,-0.7658434
97,-0.36906865
98,0.23799132
99,-0.008860327
100,0.106030405
101,0.044769894
102,-0.327313
103,0.09145571
104,-0.16882497
105,-0.34222203
106,-0.0624586
107,0.43935055
108,-0.16259564
109,-0.17109856
110,0.21067138
111,-0.36050394
112,-0.42540133
113,-0.28408992
114,-0.0934284
115,0.17254132
116,-0.17007516
117,-0.2850209
118,-0.27603897
119,-0.0068432568
120,0.16931555
121,-0.4707541
122,-0.093219526
123,-0.25604936
124,-0.023132417
125,-0.060965575
126,0.09513176
127,-0.08202614
128,-0.2596597
129,-0.3843571
130,-0.48895067
131,-0.6238457
132,-0.7239827
133,-0.46227747
134,0.13752407
135,-0.41029143
136,0.6446827
137,-0.15427811
138,-0.1473063
139,0.33433414
140,0.3979474
141,-0.06814668
142,-0.2849356
143,-0.7094796
144,0.047008537
145,0.15371354
146,0.14927943
147,0.20241006
148,-0.17287071
149,-0.13845877
150,0.63754404
151,0.12344744
152,-0.21450974
153,0.27991098
154,0.28934878
155,-0.6412115
156,-0.45058644
157,-0.22331934
158,-0.5029273
159,-0.6533617
160,-0.5133588
161,-0.43247765
162,-1.2598394
163,-0.9061037
164,-1.4068663
165,-1.3324411
166,-1.5965781
167,-1.2814847
168,-0.28909543
169,-0.9277495
170,-0.5248979
171,-0.16038619
172,-1.2109524
173,-0.54872036
174,0.5585421
175,0.2667833
176,0.14751282
177,0.5190918
178,-0.10507422
179,0.027102342
180,0.38966817
181,0.15948763
182,-0.094088614
183,-0.19856583
184,0.14489076
185,0.06966051
186,-0.00087951025
187,0.07125527
188,-0.4146101
189,-0.007306402
190,-0.028374813
191,-0.00841468
