Time Step,Flux
0,-0.30059853
1,1.7443812
2,1.2963375
3,1.9854499
4,1.5486506
5,1.656176
6,2.5660956
7,1.461785
8,1.7187297
9,2.0550368
10,1.6321619
11,0.5024027
12,0.66911966
13,-0.37790972
14,0.056628246
15,0.8088728
16,0.312209
17,0.017091593
18,-0.9640776
19,-0.29729807
20,-1.138161
21,-0.12352028
22,-0.7217357
23,0.033765566
24,-0.6897141
25,-1.5185575
26,-0.17254686
27,-0.707454
28,-0.22022562
29,-1.749552
30,-0.38866764
31,0.3520219
32,-1.1529953
33,-1.8384622
34,-0.13817254
35,-0.6844563
36,-0.2534532
37,-0.8798401
38,-0.36823577
39,-1.364177
40,-0.2363451
41,-0.41787905
42,-0.37623042
43,-0.34071735
44,-0.4867233
45,0.10245072
46,-0.6319193
47,-0.47152758
48,-0.60325086
49,-0.03505138
50,-1.0305774
51,-1.0256549
52,-0.67904794
53,-0.19405916
54,-1.14878
55,-1.4330044
56,-0.66467655
57,-1.0144142
58,-0.80373883
59,-0.64784116
60,-0.6324723
61,-0.7468715
62,-0.038541883
63,-2.2609797
64,-0.071982324
65,-0.08466821
66,-1.257108
67,-1.7402503
68,-1.1592351
69,-0.124047495
70,-0.4870174
71,-0.7550378
72,-0.53210884
73,-0.2815699
74,0.011364988
75,-1.5893319
76,-1.3155735
77,-0.8312671
78,-1.4992446
79,-0.92054427
80,-1.0594103
81,-0.70178634
82,-0.69630164
83,-0.8763027
84,-1.0988275
85,-1.1095128
86,-1.0595844
87,-0.8859481
88,-0.90631187
89,-0.9856851
90,-1.0884366
91,-0.75441253
92,-0.5808491
93,-0.82974344
94,-1.3765029
95,-0.076446824
96,0.018854655
97,-0.8522822
98,-0.9087878
99,-1.0032352
100,-1.4921167
101,-0.98154265
102,-0.5191689
103,-1.3187084
104,-1.0736995
105,-0.23476197
106,-0.45772636
107,-0.42213532
108,-0.7642277
109,-0.024574941
110,-0.79641235
111,-0.43532762
112,0.50021005
113,-0.041846193
114,0.6356267
115,0.5773741
116,0.8072373
117,2.1145651
118,1.2848026
119,1.2777736
120,1.45674
121,2.2875652
122,1.1822103
123,1.2033391
124,0.9544881
125,1.2039603
126,0.16006309
127,-0.7335851
128,0.2501724
129,-0.36381823
130,-0.9370074
131,-0.52673763
132,-0.49936077
133,-0.31576607
134,-1.1339338
135,-0.16315804
136,-1.0537562
137,-1.3117499
138,-0.5612299
139,-1.1840768
140,-1.41893
141,-0.59617573
142,-1.3129476
143,-1.4249923
144,-0.87560755
145,-0.427186
146,-0.18415837
147,-0.6519884
148,-0.7256924
149,-0.7632771
150,-1.3776562
151,-0.7765863
152,-1.2435892
153,-1.3756785
154,-0.3578842
155,-1.1996217
156,-0.45730686
157,-0.38893107
158,-0.857103
159,-1.0747712
160,0.015749123
161,-0.87998307
162,-1.188558
163,-0.75323105
164,-1.40003
165,-1.2330782
166,-1.3444482
167,-1.0657438
168,-0.45610896
169,-1.2809919
170,-0.40035272
171,-0.63007563
172,-1.2420951
173,-0.8038142
174,-0.97036135
175,-0.7233572
176,-0.7418715
177,-0.56303245
178,-0.8334319
179,-1.0290191
180,-0.5478399
181,-0.67885846
182,-0.5018226
183,-0.93003076
184,-1.1132506
185,-1.2611529
186,-1.2894646
187,-1.0107918
188,-0.9236592
189,-0.6453508
190,-0.9259726
191,-1.3608649
192,-0.591901
193,-1.0738281
194,-0.52992445
195,-0.7459657
196,-0.83780456
197,-1.1437387
198,-0.7481327
199,-0.2862543
200,-0.378496
201,-1.2297915
202,-0.77049345
203,-0.9620616
204,-0.8790392
205,-1.1654314
206,-1.1393889
207,-0.6552682
208,-0.6949353
209,-1.0015966
210,-0.7488252
211,-1.1613497
212,-0.2597596
213,-0.8948119
214,-0.65490645
215,-1.6489061
216,-1.0916893
217,-0.49617112
218,-2.0257227
219,-0.6431582
220,-1.340385
221,-0.27271536
222,-0.8677663
223,-0.5562559
224,-1.1100804
225,-1.8829918
226,-0.6248789
227,-1.1187792
228,-0.883261
229,-0.7370326
230,-0.84362364
231,-0.4695616
232,-1.3684733
233,-0.34051985
234,-0.93836457
235,-1.1647148
236,-0.25213382
237,-0.7990266
238,-0.8637776
239,-0.7278829
240,-0.7211688
241,-0.7993207
242,-0.8625276
243,-0.6892074
244,-0.45820928
245,-0.8563743
246,-1.2246518
247,-1.5517292
248,-1.2345835
249,-1.0092317
250,-0.48624554
251,-1.4287148
252,-0.6270975
253,-0.8181997
254,-0.18115292
255,-0.25525263
256,-0.5707664
257,-0.014520083
258,0.1764104
259,1.2791693
260,1.7684284
261,2.6555338
262,3.5969367
263,4.4925714
264,4.9185066
265,5.4590635
266,4.9957175
267,4.515968
268,3.3585513
269,2.1972075
270,1.7486635
271,1.2612498
272,0.24914147
273,0.4770132
274,-0.30281237
275,-0.3859864
276,0.017984366
277,-0.6883625
278,-0.7934832
279,-0.810608
280,-0.72836345
281,-0.99717605
282,-0.6452665
283,-0.37430003
284,-0.9350814
285,-1.2360651
286,-0.81411123
287,-0.67408854
288,-1.1877093
289,-1.1821389
290,-0.5921351
291,-0.77743715
292,-0.9270052
293,-0.27382043
294,-0.75935143
295,-0.8803198
296,-1.188825
297,-0.82453907
298,-0.67806095
299,-1.0411489
300,-0.9070123
301,-0.5800788
302,-0.52134603
303,-0.33445713
304,-0.6590713
305,-0.67022973
306,-0.94792926
307,-1.0424572
308,-0.87639314
309,-0.5752798
310,-0.6604918
311,-0.92500037
312,-0.5419876
313,-0.74835205
314,-0.60388756
315,-0.9804923
316,-0.3743504
317,-0.058135435
318,-0.4502446
319,0.0023514926
320,-0.878947
321,-1.2381456
322,-0.601192
323,-0.6120465
324,-0.63420755
325,-0.49503803
326,-0.5502445
327,-0.47701597
328,-0.72659487
329,0.06942473
330,-0.54047483
331,-0.82441694
332,-0.70268095
333,-0.81500834
334,-0.14593878
335,-0.7712975
336,-0.47748613
337,-0.49649006
338,-0.40060318
339,-0.9021714
340,-0.63337445
341,-0.64671594
342,-0.9053351
343,-0.6711482
344,-0.49099573
345,-0.35682315
346,-0.65113425
347,-1.0003923
348,-0.43626904
349,-0.58612156
350,-0.8632085
351,-0.7390264
352,-0.65395635
353,-0.8141588
354,-0.9760836
355,-0.75442046
356,-0.85615516
357,-0.70189404
358,-0.31737906
359,-0.65212655
360,-0.9296334
361,-1.1879075
362,-1.1490103
363,-0.61397624
364,-0.6402613
365,-0.61919796
366,-0.67817914
367,-0.71997213
368,-0.49804854
369,-0.63764864
370,-1.0374577
371,-0.5574954
372,-0.7079402
373,-0.85558844
374,-0.09398622
375,-1.0822829
376,-0.8831167
377,-1.0003933
378,-0.8043591
379,-1.1332529
380,-0.5425933
381,-0.47404784
382,-0.80930287
383,-0.661354
384,-0.6755671
385,-1.3329917
386,-0.8543601
387,-1.0351143
388,-0.83772755
389,-0.67805916
390,-0.59907275
391,-0.93298256
392,-0.39210293
393,-1.0149397
