Time Step,Flux
0,-0.5471502
1,0.04106575
2,0.38247743
3,0.10080653
4,1.0850495
5,0.628998
6,0.21672519
7,0.3233953
8,-1.7801671
9,-0.36880192
10,-1.5438747
11,-1.2742591
12,-2.4026222
13,-2.1564598
14,0.76994926
15,-0.85405695
16,-0.82184905
17,-0.5335049
18,0.37143657
19,-1.4737217
20,-0.6264117
21,-1.3726143
22,-1.3628037
23,-0.93298817
24,-0.52109367
25,-2.0883033
26,-1.0110995
27,-1.3839794
28,-1.4359291
29,0.24979238
30,0.33638343
31,0.2604607
32,-0.6016689
33,0.2591049
34,-1.5151578
35,-0.4418943
36,-1.4958391
37,-0.4633682
38,-0.19636498
39,-0.3970425
40,0.5102067
41,0.23182558
42,-0.8404548
43,0.382376
44,-0.9219586
45,0.8895629
46,-0.47978154
47,0.54249525
48,0.14973947
49,-0.58744186
50,-0.22646202
51,0.11765877
52,1.2628195
53,0.49508336
54,2.3696694
55,1.1479589
56,2.1394205
57,1.117726
58,1.666703
59,0.38276228
60,1.2751768
61,0.29430318
62,1.2749618
63,0.9196304
64,0.26817513
65,-0.08483292
66,-0.39093596
67,-0.460464
68,-0.015490784
69,-0.22588958
70,-0.91047543
71,-0.10241015
72,-0.24779974
73,-1.0109044
74,-0.36616546
75,-0.5081072
76,-0.8099946
77,-0.05701385
78,-1.0418233
79,0.012881889
80,0.061595295
81,-1.4910055
82,-0.23213853
83,-0.4431054
84,-1.2153263
85,-0.31903195
86,-1.5226327
87,-0.07124491
88,-1.7892736
89,-0.68574315
90,-0.9474211
91,0.015700737
92,-0.85307497
93,-0.16267306
94,-1.2661479
95,-0.5149041
96,-0.35564318
97,-0.21617457
98,-1.0223454
99,0.5726351
100,0.14993832
101,-1.4129416
102,0.50828654
103,0.35661307
104,-0.84481126
105,1.8101217
106,1.456004
107,2.386574
108,2.5223184
109,2.4384131
110,3.1016397
111,3.3560128
112,1.8761972
113,1.7230074
114,1.1035407
115,1.3311137
116,1.1321079
117,-0.8748299
118,-0.5105488
119,-1.4447457
120,-0.40339056
121,0.23780367
122,0.39395747
123,-0.6457046
124,-0.5238454
125,-0.4375683
126,-0.9352562
127,-0.59256655
128,-0.67826974
129,-0.31366137
130,-0.98622036
131,-0.19173428
132,-0.38011172
133,-0.7381008
134,-0.35012108
135,-0.4233213
136,-1.1389965
137,-0.3198891
138,0.6151544
139,-0.4489845
140,-0.17225012
141,-1.2917945
142,-0.6223916
143,0.037667125
144,-0.78964174
145,-0.4922906
146,-0.40338382
147,0.41843668
148,-0.888898
149,-0.32825047
150,-1.1395854
151,-0.4326068
152,-0.46663177
153,-0.7342813
154,-0.2330892
155,-0.9499785
156,-0.6256721
157,-0.5460234
158,-0.80904734
159,-0.11774969
160,0.09544284
161,-0.7127355
162,-0.17890961
163,-0.06288741
164,-1.2250093
165,-0.8549135
166,-0.81153494
167,-0.56041175
168,-0.09145181
169,-0.17265691
170,-0.27407923
171,-0.91583467
172,-0.7034674
173,-0.56900644
174,-1.0787784
175,0.037209406
176,-0.20552944
177,0.5259048
178,-0.9824809
179,-0.43991628
180,-0.3819641
181,-0.7182185
182,-0.6426554
183,-0.26854962
184,-1.4689608
185,-0.33747593
186,-0.8072536
187,-1.171143
188,-1.171967
189,-1.0792489
